"electrode","degree","strength","betweenness","condition","band","state","region"
"AF4",10,0.0942754001257304,0.0102406554019457,"beta_thinking","beta","thinking","frontal"
"FC3",9,0.0929356146777231,0.00102406554019457,"beta_thinking","beta","thinking","other"
"C2",9,0.0818861890306373,0.00819252432155658,"beta_thinking","beta","thinking","other"
"AF3",8,0.0818704467405157,0,"beta_thinking","beta","thinking","frontal"
"F5",8,0.0787991730585244,0.00102406554019457,"beta_thinking","beta","thinking","other"
"FC2",8,0.0764949811211366,0.00102406554019457,"beta_thinking","beta","thinking","other"
"Fp2",8,0.0754412190790765,0.00256016385048643,"beta_thinking","beta","thinking","frontal"
"F3",7,0.0750691867238606,0,"beta_thinking","beta","thinking","frontal"
"O2",8,0.075018026343079,0.00204813108038914,"beta_thinking","beta","thinking","occipital"
"F4",8,0.0735702755888469,0.00870455709165387,"beta_thinking","beta","thinking","frontal"
"P9",7,0.0687108581624365,0.00153609831029186,"beta_thinking","beta","thinking","other"
"P5",7,0.0686492182489467,0.00256016385048643,"beta_thinking","beta","thinking","other"
"FC5",7,0.0658175847940327,0.00921658986175115,"beta_thinking","beta","thinking","other"
"AF7",7,0.0656770581856362,0,"beta_thinking","beta","thinking","frontal"
"P10",7,0.0630985764684173,0.00102406554019457,"beta_thinking","beta","thinking","other"
